token,category
acs fall meeting,Astronomy conferences
adass and numerous other conferences,Astronomy conferences
african digital scholarship and curation conference,Astronomy conferences
agu fall meeting,Astronomy conferences
american geophysical union,Astronomy conferences
american geophysical union annual meeting,Astronomy conferences
american geophysical union fall meeting,Astronomy conferences
american meteorological society annual meeting,Astronomy conferences
american physical society division of plasma physics annual meetings,Astronomy conferences
aps march meeting,Astronomy conferences
bernstein conference,Astronomy conferences
bioinformatic conferences: eccb,Astronomy conferences
caribbean regional conference of psychology,Astronomy conferences
chaos communication congress,Astronomy conferences
chpc conference,Astronomy conferences
csir biennial conference,Astronomy conferences
derse conference,Astronomy conferences
dh conference,Astronomy conferences
diverses conférences,Astronomy conferences
domain conferences in the past,Astronomy conferences
ecological modelling conference,Astronomy conferences
empirical methods in natural language processing conference,Astronomy conferences
eresearch south africa conference,Astronomy conferences
european r users meeting,Astronomy conferences
faraday discussions,Astronomy conferences
galaxy community conference,Astronomy conferences
gamm annual meeting,Astronomy conferences
gordon research conference (usa),Astronomy conferences
helmholtz metadata conference,Astronomy conferences
hmc conference,Astronomy conferences
hpsf conference,Astronomy conferences
huminfra nodes conference,Astronomy conferences
ices annual science conference,Astronomy conferences
ieee escience conference,Astronomy conferences
interamerican congress of psychology,Astronomy conferences
land warfare conference,Astronomy conferences
lattice conference,Astronomy conferences
magnetism conferences,Astronomy conferences
military information and communications symposium of south africa,Astronomy conferences
not software conferences.,Astronomy conferences
ocns annual meeting,Astronomy conferences
one health symposium,Astronomy conferences
project specific conference,Astronomy conferences
research area specific not software specific conferences,Astronomy conferences
ric conference,Astronomy conferences
seismological society of american annual meeting,Astronomy conferences
siam conferences,Astronomy conferences
skach winter meeting,Astronomy conferences
software defined space conference,Astronomy conferences
some other astronomy conferences,Astronomy conferences
some topical conferences,Astronomy conferences
språkbanken meetings,Astronomy conferences
topical conferences,Astronomy conferences
usrse conferences,Astronomy conferences
aas/spd/tess,Conferences and events
acl,Conferences and events
acm pearc,Conferences and events
acm pepm,Conferences and events
acspri,Conferences and events
adac,Conferences and events
american chemical society,Conferences and events
ams,Conferences and events
cakefest,Conferences and events
chep,Conferences and events
chr,Conferences and events
cni,Conferences and events
coling,Conferences and events
compstat,Conferences and events
cospar,Conferences and events
cosyne,Conferences and events
cray user group,Conferences and events
cvpr,Conferences and events
dasc,Conferences and events
derse,Conferences and events
dh,Conferences and events
dh benelux,Conferences and events
dhd,Conferences and events
dhnb,Conferences and events
ducoms,Conferences and events
durham hpc days,Conferences and events
ecm,Conferences and events
egi,Conferences and events
eusn,Conferences and events
forge,Conferences and events
fosdem,Conferences and events
gfv,Conferences and events
hipeac,Conferences and events
hmc,Conferences and events
hmc),Conferences and events
icalepcs,Conferences and events
icns,Conferences and events
icosahom,Conferences and events
icse,Conferences and events
icsew,Conferences and events
ifd&tc,Conferences and events
ipdps,Conferences and events
isc,Conferences and events
iscb,Conferences and events
ismb,Conferences and events
ismrm,Conferences and events
iss,Conferences and events
issb,Conferences and events
jlesc,Conferences and events
juliacon,Conferences and events
jupytercon,Conferences and events
knime,Conferences and events
lhcp,Conferences and events
mett,Conferences and events
mpg fdm,Conferences and events
mse,Conferences and events
nac,Conferences and events
netsci,Conferences and events
nfcs,Conferences and events
nfdi,Conferences and events
nofe,Conferences and events
pasc,Conferences and events
pcapac,Conferences and events
posit::conf,Conferences and events
prasa,Conferences and events
pycon,Conferences and events
pycon chile,Conferences and events
pycon us,Conferences and events
pydata,Conferences and events
pyhep,Conferences and events
