category,n,pct
Physical sciences,73,59.3
Engineering and technology,57,46.3
Computer science,55,44.7
Medicine and health sciences,44,35.8
Biological sciences,40,32.5
Mathematical sciences,24,19.5
Education,23,18.7
Social sciences,17,13.8
Agriculture and related subjects,13,10.6
Languages and linguistics,12,9.8
Historical and philosophical studies,12,9.8
"Architecture, building and planning",7,5.7
Creative arts and design,7,5.7
Veterinary science,5,4.1
Law,5,4.1
Business,5,4.1
Communications,5,4.1
