country_group,category,n,pct,N
United Kingdom,University,95,74.8,127
United Kingdom,Non-profit organization,9,7.1,127
United Kingdom,National laboratory,9,7.1,127
United Kingdom,Government,7,5.5,127
United Kingdom,Other,4,3.1,127
United Kingdom,Private company,3,2.4,127
United States,University,60,64.5,93
United States,Non-profit organization,13,14.0,93
United States,National laboratory,8,8.6,93
United States,Government,6,6.5,93
United States,Private company,4,4.3,93
United States,Other,2,2.2,93
