token,category
application optimization engineer,(Research) Software Engineer
computational scientist,(Research) Software Engineer
gis engineer,(Research) Software Engineer
hpc system engineer,(Research) Software Engineer
programmer,(Research) Software Engineer
research software and systems engineer,(Research) Software Engineer
research software engineer,(Research) Software Engineer
responsible person for software engineering,(Research) Software Engineer
rse,(Research) Software Engineer
rse and trainer,(Research) Software Engineer
scientific programmer,(Research) Software Engineer
scientific software engineer,(Research) Software Engineer
scientist and research software engineer,(Research) Software Engineer
senior bioinformatic software engineer,(Research) Software Engineer
senior research software engineer,(Research) Software Engineer
software engineer,(Research) Software Engineer
software-engineer,(Research) Software Engineer
softwareentwickler,(Research) Software Engineer
senior computational scientist,Computational Scientist / Scientific Programmer
data manager,Data Management / Data Scientist
data scientists,Data Management / Data Scientist
data steward,Data Management / Data Scientist
data steward and scientist,Data Management / Data Scientist
referent für forschungsdatenmanagement,Data Management / Data Scientist
softwarentwickler/datamanager,Data Management / Data Scientist
abteilungsleiter,Management Roles
department head,Management Roles
deputy head of department,Management Roles
director of curriculum,Management Roles
group leader,Management Roles
head of department,Management Roles
managing director,Management Roles
project leader,Management Roles
stellvertretende abteilungsleiterin und gruppenleitung,Management Roles
team lead,Management Roles
team leader,Management Roles
academic researchers,Researcher / Scientific Staff
doctoral student / research associate,Researcher / Scientific Staff
doktorand,Researcher / Scientific Staff
head of science it,Researcher / Scientific Staff
hiwi,Researcher / Scientific Staff
juniorprofessor,Researcher / Scientific Staff
miterbeiter wissenchaftler,Researcher / Scientific Staff
phd,Researcher / Scientific Staff
phd candidate,Researcher / Scientific Staff
phd student,Researcher / Scientific Staff
post doc,Researcher / Scientific Staff
post-doc,Researcher / Scientific Staff
postdoc,Researcher / Scientific Staff
postdoc researcher,Researcher / Scientific Staff
postdoctoral research associate,Researcher / Scientific Staff
postdoctoral research fellow,Researcher / Scientific Staff
postdoctoral researcher,Researcher / Scientific Staff
professor,Researcher / Scientific Staff
research assisntant,Researcher / Scientific Staff
research assistant,Researcher / Scientific Staff
research associate,Researcher / Scientific Staff
research fellow,Researcher / Scientific Staff
researcher,Researcher / Scientific Staff
researcher (wissenschaftliche mitarbeiterin),Researcher / Scientific Staff
scientific coworker,Researcher / Scientific Staff
scientific employee,Researcher / Scientific Staff
scientific researcher,Researcher / Scientific Staff
scientific staff,Researcher / Scientific Staff
scientific staff (postdoctoral researcher),Researcher / Scientific Staff
scientist,Researcher / Scientific Staff
senior machine learning researcher,Researcher / Scientific Staff
senior researcher,Researcher / Scientific Staff
senior scientist,Researcher / Scientific Staff
staff scientist,Researcher / Scientific Staff
student assistant,Researcher / Scientific Staff
tenure track professor,Researcher / Scientific Staff
wiss. ma,Researcher / Scientific Staff
wiss. mitarbeiter,Researcher / Scientific Staff
wissenschaflticher mitarbeiter,Researcher / Scientific Staff
wissenschaftliche hilfskraft,Researcher / Scientific Staff
wissenschaftliche mitarbeiterin,Researcher / Scientific Staff
wissenschaftlicher angestellter,Researcher / Scientific Staff
wissenschaftlicher mitarbeiter,Researcher / Scientific Staff
wissenschaftlicher mitarbeiter (researcher),Researcher / Scientific Staff
wissenschaftlicher mitarbeiter / post-doc,Researcher / Scientific Staff
wissenschaftlicher mitarbeiter:in,Researcher / Scientific Staff
wissenschaftlicher programmierer,Researcher / Scientific Staff
wissenschaftliches personal,Researcher / Scientific Staff
wrap up postdoc,Researcher / Scientific Staff
developer,Software Developer
devops engineer,Software Developer
entwicklungsingenieur,Software Developer
frontend development,Software Developer
full stack developer,Software Developer
senior developer,Software Developer
software developer,Software Developer
configurationmanager,Technical Staff
hpc consultant,Technical Staff
informatiker,Technical Staff
it admin,Technical Staff
it-entwickler,Technical Staff
system administrator,Technical Staff
technical director,Technical Staff
technical staff,Technical Staff
technische laborleitung,Technical Staff
technischer mitarbeiter,Technical Staff
webentwickler für digitale repositorien,Technical Staff
eln & fdm support,eln & rdm Support
eln & rdm supporter,eln & rdm Support
