country_group,category,n,pct
Germany,Institutional support (centrally funded),137,72.1
Germany,Grants,107,56.3
Germany,I volunteer my time,35,18.4
Germany,Consulting &amp; services,10,5.3
Germany,Industry support,9,4.7
Germany,Foundations &amp; consortiums,9,4.7
Germany,Venture Capital,1,0.5
Netherlands,Institutional support (centrally funded),40,80.0
Netherlands,Grants,25,50.0
Netherlands,Foundations &amp; consortiums,6,12.0
Netherlands,I volunteer my time,5,10.0
Netherlands,Industry support,5,10.0
Netherlands,Consulting &amp; services,2,4.0
United Kingdom,Grants,95,81.2
United Kingdom,Institutional support (centrally funded),74,63.2
United Kingdom,I volunteer my time,17,14.5
United Kingdom,Consulting &amp; services,14,12.0
United Kingdom,Industry support,10,8.5
United Kingdom,Foundations &amp; consortiums,8,6.8
United Kingdom,Venture Capital,3,2.6
United States,Grants,58,65.9
United States,Institutional support (centrally funded),55,62.5
United States,I volunteer my time,13,14.8
United States,Consulting &amp; services,8,9.1
United States,Foundations &amp; consortiums,6,6.8
United States,Industry support,4,4.5
