country_group,category,n,pct,N
Germany,0% (None at all),9,4.4,203
Germany,20%,69,34.0,203
Germany,40%,54,26.6,203
Germany,60%,33,16.3,203
Germany,80%,33,16.3,203
Germany,100% (All my time),5,2.5,203
Netherlands,0% (None at all),1,2.0,50
Netherlands,20%,13,26.0,50
Netherlands,40%,14,28.0,50
Netherlands,60%,13,26.0,50
Netherlands,80%,7,14.0,50
Netherlands,100% (All my time),2,4.0,50
United Kingdom,0% (None at all),7,5.6,126
United Kingdom,20%,42,33.3,126
United Kingdom,40%,29,23.0,126
United Kingdom,60%,29,23.0,126
United Kingdom,80%,15,11.9,126
United Kingdom,100% (All my time),4,3.2,126
United States,0% (None at all),4,4.4,91
United States,20%,18,19.8,91
United States,40%,27,29.7,91
United States,60%,16,17.6,91
United States,80%,19,20.9,91
United States,100% (All my time),7,7.7,91
