country_group,category,n,pct,N
Germany,0% (None at all),4,2.0,197
Germany,20%,35,17.8,197
Germany,40%,70,35.5,197
Germany,60%,58,29.4,197
Germany,80%,23,11.7,197
Germany,100% (All my time),7,3.6,197
Netherlands,20%,6,12.5,48
Netherlands,40%,18,37.5,48
Netherlands,60%,15,31.2,48
Netherlands,80%,5,10.4,48
Netherlands,100% (All my time),4,8.3,48
United Kingdom,0% (None at all),3,2.4,124
United Kingdom,20%,28,22.6,124
United Kingdom,40%,39,31.5,124
United Kingdom,60%,23,18.5,124
United Kingdom,80%,24,19.4,124
United Kingdom,100% (All my time),7,5.6,124
United States,0% (None at all),1,1.1,88
United States,20%,8,9.1,88
United States,40%,35,39.8,88
United States,60%,20,22.7,88
United States,80%,18,20.5,88
United States,100% (All my time),6,6.8,88
