country_group,category,n,pct,N
Germany,0% (None at all),67,34.5,194
Germany,20%,87,44.8,194
Germany,40%,22,11.3,194
Germany,60%,16,8.2,194
Germany,80%,2,1.0,194
Netherlands,0% (None at all),26,55.3,47
Netherlands,20%,14,29.8,47
Netherlands,40%,3,6.4,47
Netherlands,60%,2,4.3,47
Netherlands,80%,1,2.1,47
Netherlands,100% (All my time),1,2.1,47
United Kingdom,0% (None at all),44,38.3,115
United Kingdom,20%,45,39.1,115
United Kingdom,40%,11,9.6,115
United Kingdom,60%,8,7.0,115
United Kingdom,80%,7,6.1,115
United States,0% (None at all),33,42.9,77
United States,20%,27,35.1,77
United States,40%,11,14.3,77
United States,60%,3,3.9,77
United States,80%,2,2.6,77
United States,100% (All my time),1,1.3,77
