country_group,category,n,pct,N
Germany,0% (None at all),93,54.4,171
Germany,20%,61,35.7,171
Germany,40%,14,8.2,171
Germany,60%,2,1.2,171
Germany,80%,1,0.6,171
Netherlands,0% (None at all),32,74.4,43
Netherlands,20%,8,18.6,43
Netherlands,40%,1,2.3,43
Netherlands,60%,2,4.7,43
United Kingdom,0% (None at all),52,49.1,106
United Kingdom,20%,41,38.7,106
United Kingdom,40%,7,6.6,106
United Kingdom,60%,6,5.7,106
United States,0% (None at all),37,52.9,70
United States,20%,25,35.7,70
United States,40%,2,2.9,70
United States,60%,5,7.1,70
United States,80%,1,1.4,70
