country_group,category,n,pct,N
Germany,0% (None at all),37,22.4,165
Germany,20%,108,65.5,165
Germany,40%,15,9.1,165
Germany,60%,4,2.4,165
Germany,80%,1,0.6,165
Netherlands,0% (None at all),12,30.8,39
Netherlands,20%,22,56.4,39
Netherlands,40%,5,12.8,39
United Kingdom,0% (None at all),28,26.7,105
United Kingdom,20%,54,51.4,105
United Kingdom,40%,19,18.1,105
United Kingdom,60%,3,2.9,105
United Kingdom,80%,1,1.0,105
United States,0% (None at all),21,26.6,79
United States,20%,50,63.3,79
United States,40%,6,7.6,79
United States,60%,2,2.5,79
