country_group,category,n,pct,N
Germany,0% (None at all),89,57.8,154
Germany,20%,56,36.4,154
Germany,40%,8,5.2,154
Germany,60%,1,0.6,154
Netherlands,0% (None at all),22,56.4,39
Netherlands,20%,15,38.5,39
Netherlands,40%,2,5.1,39
United Kingdom,0% (None at all),42,43.3,97
United Kingdom,20%,42,43.3,97
United Kingdom,40%,11,11.3,97
United Kingdom,60%,1,1.0,97
United Kingdom,80%,1,1.0,97
United States,0% (None at all),34,47.9,71
United States,20%,32,45.1,71
United States,40%,4,5.6,71
United States,100% (All my time),1,1.4,71
