country_group,category,n,pct,N
Germany,0% (None at all),44,22.3,197
Germany,20%,97,49.2,197
Germany,40%,34,17.3,197
Germany,60%,15,7.6,197
Germany,80%,6,3.0,197
Germany,100% (All my time),1,0.5,197
Netherlands,0% (None at all),14,30.4,46
Netherlands,20%,19,41.3,46
Netherlands,40%,11,23.9,46
Netherlands,60%,2,4.3,46
United Kingdom,0% (None at all),39,33.6,116
United Kingdom,20%,51,44.0,116
United Kingdom,40%,11,9.5,116
United Kingdom,60%,9,7.8,116
United Kingdom,80%,5,4.3,116
United Kingdom,100% (All my time),1,0.9,116
United States,0% (None at all),28,32.6,86
United States,20%,39,45.3,86
United States,40%,13,15.1,86
United States,60%,5,5.8,86
United States,80%,1,1.2,86
