country_group,category,n,pct,N
Germany,0% (None at all),27,14.1,192
Germany,20%,59,30.7,192
Germany,40%,68,35.4,192
Germany,60%,27,14.1,192
Germany,80%,7,3.6,192
Germany,100% (All my time),4,2.1,192
Netherlands,0% (None at all),7,14.9,47
Netherlands,20%,21,44.7,47
Netherlands,40%,16,34.0,47
Netherlands,60%,3,6.4,47
United Kingdom,0% (None at all),22,19.3,114
United Kingdom,20%,45,39.5,114
United Kingdom,40%,30,26.3,114
United Kingdom,60%,11,9.6,114
United Kingdom,80%,3,2.6,114
United Kingdom,100% (All my time),3,2.6,114
United States,0% (None at all),12,14.1,85
United States,20%,43,50.6,85
United States,40%,20,23.5,85
United States,60%,8,9.4,85
United States,80%,2,2.4,85
