country_group,category,n,pct,N
Germany,0% (None at all),117,62.6,187
Germany,20%,58,31.0,187
Germany,40%,10,5.3,187
Germany,60%,2,1.1,187
Netherlands,0% (None at all),18,40.0,45
Netherlands,20%,24,53.3,45
Netherlands,40%,3,6.7,45
United Kingdom,0% (None at all),52,46.4,112
United Kingdom,20%,49,43.8,112
United Kingdom,40%,6,5.4,112
United Kingdom,60%,2,1.8,112
United Kingdom,80%,2,1.8,112
United Kingdom,100% (All my time),1,0.9,112
United States,0% (None at all),48,61.5,78
United States,20%,27,34.6,78
United States,40%,3,3.8,78
