country_group,category,n,pct,N
Germany,0% (None at all),74,44.0,168
Germany,20%,81,48.2,168
Germany,40%,11,6.5,168
Germany,60%,2,1.2,168
Netherlands,0% (None at all),14,31.1,45
Netherlands,20%,26,57.8,45
Netherlands,40%,5,11.1,45
United Kingdom,0% (None at all),45,40.2,112
United Kingdom,20%,53,47.3,112
United Kingdom,40%,11,9.8,112
United Kingdom,60%,1,0.9,112
United Kingdom,80%,1,0.9,112
United Kingdom,100% (All my time),1,0.9,112
United States,0% (None at all),32,43.2,74
United States,20%,35,47.3,74
United States,40%,7,9.5,74
