item,age_group,category,n,pct,N
Developing software (Actual),Under 35,0% (None at all),1,1.4,69
Developing software (Actual),Under 35,20%,14,20.3,69
Developing software (Actual),Under 35,40%,24,34.8,69
Developing software (Actual),Under 35,60%,14,20.3,69
Developing software (Actual),Under 35,80%,14,20.3,69
Developing software (Actual),Under 35,100% (All my time),2,2.9,69
Developing software (Actual),35-44,0% (None at all),5,6.2,81
Developing software (Actual),35-44,20%,32,39.5,81
Developing software (Actual),35-44,40%,19,23.5,81
Developing software (Actual),35-44,60%,11,13.6,81
Developing software (Actual),35-44,80%,12,14.8,81
Developing software (Actual),35-44,100% (All my time),2,2.5,81
Developing software (Actual),45-54,0% (None at all),3,8.3,36
Developing software (Actual),45-54,20%,17,47.2,36
Developing software (Actual),45-54,40%,6,16.7,36
Developing software (Actual),45-54,60%,6,16.7,36
Developing software (Actual),45-54,80%,4,11.1,36
Developing software (Actual),55+,20%,5,35.7,14
Developing software (Actual),55+,40%,3,21.4,14
Developing software (Actual),55+,60%,2,14.3,14
Developing software (Actual),55+,80%,3,21.4,14
Developing software (Actual),55+,100% (All my time),1,7.1,14
Developing software (Desired),Under 35,0% (None at all),1,1.5,67
Developing software (Desired),Under 35,20%,7,10.4,67
Developing software (Desired),Under 35,40%,20,29.9,67
Developing software (Desired),Under 35,60%,23,34.3,67
Developing software (Desired),Under 35,80%,14,20.9,67
Developing software (Desired),Under 35,100% (All my time),2,3.0,67
Developing software (Desired),35-44,0% (None at all),2,2.5,79
Developing software (Desired),35-44,20%,15,19.0,79
Developing software (Desired),35-44,40%,33,41.8,79
Developing software (Desired),35-44,60%,24,30.4,79
Developing software (Desired),35-44,80%,5,6.3,79
Developing software (Desired),45-54,0% (None at all),1,2.8,36
Developing software (Desired),45-54,20%,10,27.8,36
Developing software (Desired),45-54,40%,12,33.3,36
Developing software (Desired),45-54,60%,7,19.4,36
Developing software (Desired),45-54,80%,3,8.3,36
Developing software (Desired),45-54,100% (All my time),3,8.3,36
Developing software (Desired),55+,20%,3,23.1,13
Developing software (Desired),55+,40%,3,23.1,13
Developing software (Desired),55+,60%,4,30.8,13
Developing software (Desired),55+,80%,1,7.7,13
Developing software (Desired),55+,100% (All my time),2,15.4,13
Research (Actual),Under 35,0% (None at all),12,17.9,67
Research (Actual),Under 35,20%,32,47.8,67
Research (Actual),Under 35,40%,15,22.4,67
Research (Actual),Under 35,60%,7,10.4,67
Research (Actual),Under 35,80%,1,1.5,67
Research (Actual),35-44,0% (None at all),21,26.2,80
Research (Actual),35-44,20%,38,47.5,80
Research (Actual),35-44,40%,10,12.5,80
Research (Actual),35-44,60%,8,10.0,80
Research (Actual),35-44,80%,3,3.8,80
Research (Actual),45-54,0% (None at all),9,26.5,34
Research (Actual),45-54,20%,15,44.1,34
Research (Actual),45-54,40%,7,20.6,34
Research (Actual),45-54,80%,2,5.9,34
Research (Actual),45-54,100% (All my time),1,2.9,34
Research (Actual),55+,0% (None at all),2,15.4,13
