age_group,category,n,pct,N
Under 35,0% (None at all),1,1.4,69
Under 35,20%,14,20.3,69
Under 35,40%,24,34.8,69
Under 35,60%,14,20.3,69
Under 35,80%,14,20.3,69
Under 35,100% (All my time),2,2.9,69
35-44,0% (None at all),5,6.2,81
35-44,20%,32,39.5,81
35-44,40%,19,23.5,81
35-44,60%,11,13.6,81
35-44,80%,12,14.8,81
35-44,100% (All my time),2,2.5,81
45-54,0% (None at all),3,8.3,36
45-54,20%,17,47.2,36
45-54,40%,6,16.7,36
45-54,60%,6,16.7,36
45-54,80%,4,11.1,36
55+,20%,5,35.7,14
55+,40%,3,21.4,14
55+,60%,2,14.3,14
55+,80%,3,21.4,14
55+,100% (All my time),1,7.1,14
