age_group,category,n,pct,N
Under 35,0% (None at all),1,1.5,67
Under 35,20%,7,10.4,67
Under 35,40%,20,29.9,67
Under 35,60%,23,34.3,67
Under 35,80%,14,20.9,67
Under 35,100% (All my time),2,3.0,67
35-44,0% (None at all),2,2.5,79
35-44,20%,15,19.0,79
35-44,40%,33,41.8,79
35-44,60%,24,30.4,79
35-44,80%,5,6.3,79
45-54,0% (None at all),1,2.8,36
45-54,20%,10,27.8,36
45-54,40%,12,33.3,36
45-54,60%,7,19.4,36
45-54,80%,3,8.3,36
45-54,100% (All my time),3,8.3,36
55+,20%,3,23.1,13
55+,40%,3,23.1,13
55+,60%,4,30.8,13
55+,80%,1,7.7,13
55+,100% (All my time),2,15.4,13
