age_group,category,n,pct,N
Under 35,0% (None at all),7,10.6,66
Under 35,20%,23,34.8,66
Under 35,40%,22,33.3,66
Under 35,60%,11,16.7,66
Under 35,80%,1,1.5,66
Under 35,100% (All my time),2,3.0,66
35-44,0% (None at all),13,16.9,77
35-44,20%,20,26.0,77
35-44,40%,28,36.4,77
35-44,60%,10,13.0,77
35-44,80%,5,6.5,77
35-44,100% (All my time),1,1.3,77
45-54,0% (None at all),5,14.3,35
45-54,20%,11,31.4,35
45-54,40%,13,37.1,35
45-54,60%,4,11.4,35
45-54,80%,1,2.9,35
45-54,100% (All my time),1,2.9,35
55+,0% (None at all),2,16.7,12
55+,20%,4,33.3,12
55+,40%,5,41.7,12
55+,60%,1,8.3,12
