item,country_group,category,n,pct,N
Directly reference the software (i.e. through Github link or Zenodo),Germany,Always,83,89.2,93
Directly reference the software (i.e. through Github link or Zenodo),Germany,Never,10,10.8,93
Directly reference the software (i.e. through Github link or Zenodo),Netherlands,Always,14,87.5,16
Directly reference the software (i.e. through Github link or Zenodo),Netherlands,Never,2,12.5,16
Directly reference the software (i.e. through Github link or Zenodo),United Kingdom,Always,37,82.2,45
Directly reference the software (i.e. through Github link or Zenodo),United Kingdom,Never,8,17.8,45
Directly reference the software (i.e. through Github link or Zenodo),United States,Always,28,93.3,30
Directly reference the software (i.e. through Github link or Zenodo),United States,Never,2,6.7,30
I reference a published paper describing the software,Germany,Always,66,75.0,88
I reference a published paper describing the software,Germany,Never,22,25.0,88
I reference a published paper describing the software,Netherlands,Never,8,57.1,14
I reference a published paper describing the software,Netherlands,Always,6,42.9,14
I reference a published paper describing the software,United Kingdom,Never,17,50.0,34
I reference a published paper describing the software,United Kingdom,Always,17,50.0,34
I reference a published paper describing the software,United States,Always,13,52.0,25
I reference a published paper describing the software,United States,Never,12,48.0,25
