item,country_group,category,n,pct,N
My experience is in demand on the labour market,Germany,Strongly Agree,42,23.1,182
My experience is in demand on the labour market,Germany,Agree,70,38.5,182
My experience is in demand on the labour market,Germany,Neither agree or disagree,46,25.3,182
My experience is in demand on the labour market,Germany,Disagree,23,12.6,182
My experience is in demand on the labour market,Germany,Strongly disagree,1,0.5,182
My experience is in demand on the labour market,Netherlands,Strongly Agree,7,14.3,49
My experience is in demand on the labour market,Netherlands,Agree,28,57.1,49
My experience is in demand on the labour market,Netherlands,Neither agree or disagree,10,20.4,49
My experience is in demand on the labour market,Netherlands,Disagree,2,4.1,49
My experience is in demand on the labour market,Netherlands,Strongly disagree,2,4.1,49
My experience is in demand on the labour market,United Kingdom,Strongly Agree,25,20.7,121
My experience is in demand on the labour market,United Kingdom,Agree,45,37.2,121
My experience is in demand on the labour market,United Kingdom,Neither agree or disagree,38,31.4,121
My experience is in demand on the labour market,United Kingdom,Disagree,11,9.1,121
My experience is in demand on the labour market,United Kingdom,Strongly disagree,2,1.7,121
My experience is in demand on the labour market,United States,Strongly Agree,18,20.0,90
My experience is in demand on the labour market,United States,Agree,44,48.9,90
My experience is in demand on the labour market,United States,Neither agree or disagree,18,20.0,90
My experience is in demand on the labour market,United States,Disagree,10,11.1,90
The process I have to complete to gain a promotion is clear and understandable,Germany,Strongly Agree,10,5.6,177
The process I have to complete to gain a promotion is clear and understandable,Germany,Agree,42,23.7,177
The process I have to complete to gain a promotion is clear and understandable,Germany,Neither agree or disagree,43,24.3,177
The process I have to complete to gain a promotion is clear and understandable,Germany,Disagree,34,19.2,177
The process I have to complete to gain a promotion is clear and understandable,Germany,Strongly disagree,48,27.1,177
The process I have to complete to gain a promotion is clear and understandable,Netherlands,Strongly Agree,2,4.3,47
The process I have to complete to gain a promotion is clear and understandable,Netherlands,Agree,5,10.6,47
The process I have to complete to gain a promotion is clear and understandable,Netherlands,Neither agree or disagree,11,23.4,47
The process I have to complete to gain a promotion is clear and understandable,Netherlands,Disagree,19,40.4,47
The process I have to complete to gain a promotion is clear and understandable,Netherlands,Strongly disagree,10,21.3,47
The process I have to complete to gain a promotion is clear and understandable,United Kingdom,Strongly Agree,9,7.4,121
The process I have to complete to gain a promotion is clear and understandable,United Kingdom,Agree,26,21.5,121
The process I have to complete to gain a promotion is clear and understandable,United Kingdom,Neither agree or disagree,22,18.2,121
The process I have to complete to gain a promotion is clear and understandable,United Kingdom,Disagree,37,30.6,121
The process I have to complete to gain a promotion is clear and understandable,United Kingdom,Strongly disagree,27,22.3,121
The process I have to complete to gain a promotion is clear and understandable,United States,Strongly Agree,8,9.3,86
The process I have to complete to gain a promotion is clear and understandable,United States,Agree,22,25.6,86
The process I have to complete to gain a promotion is clear and understandable,United States,Neither agree or disagree,17,19.8,86
The process I have to complete to gain a promotion is clear and understandable,United States,Disagree,28,32.6,86
The process I have to complete to gain a promotion is clear and understandable,United States,Strongly disagree,11,12.8,86
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Germany,Strongly Agree,23,12.6,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Germany,Agree,58,31.9,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Germany,Neither agree or disagree,61,33.5,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Germany,Disagree,25,13.7,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Germany,Strongly disagree,15,8.2,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Netherlands,Strongly Agree,7,15.2,46
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Netherlands,Agree,15,32.6,46
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Netherlands,Neither agree or disagree,12,26.1,46
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Netherlands,Disagree,8,17.4,46
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Netherlands,Strongly disagree,4,8.7,46
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United Kingdom,Strongly Agree,16,13.2,121
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United Kingdom,Agree,37,30.6,121
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United Kingdom,Neither agree or disagree,37,30.6,121
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United Kingdom,Disagree,21,17.4,121
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United Kingdom,Strongly disagree,10,8.3,121
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United States,Strongly Agree,21,23.9,88
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United States,Agree,26,29.5,88
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United States,Neither agree or disagree,22,25.0,88
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United States,Disagree,11,12.5,88
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,United States,Strongly disagree,8,9.1,88
