country_group,category,n,pct,N
Germany,Strongly Agree,23,12.6,182
Germany,Agree,58,31.9,182
Germany,Neither agree or disagree,61,33.5,182
Germany,Disagree,25,13.7,182
Germany,Strongly disagree,15,8.2,182
Netherlands,Strongly Agree,7,15.2,46
Netherlands,Agree,15,32.6,46
Netherlands,Neither agree or disagree,12,26.1,46
Netherlands,Disagree,8,17.4,46
Netherlands,Strongly disagree,4,8.7,46
United Kingdom,Strongly Agree,16,13.2,121
United Kingdom,Agree,37,30.6,121
United Kingdom,Neither agree or disagree,37,30.6,121
United Kingdom,Disagree,21,17.4,121
United Kingdom,Strongly disagree,10,8.3,121
United States,Strongly Agree,21,23.9,88
United States,Agree,26,29.5,88
United States,Neither agree or disagree,22,25.0,88
United States,Disagree,11,12.5,88
United States,Strongly disagree,8,9.1,88
