country_group,category,n,pct,N
Germany,Strongly Agree,42,23.1,182
Germany,Agree,70,38.5,182
Germany,Neither agree or disagree,46,25.3,182
Germany,Disagree,23,12.6,182
Germany,Strongly disagree,1,0.5,182
Netherlands,Strongly Agree,7,14.3,49
Netherlands,Agree,28,57.1,49
Netherlands,Neither agree or disagree,10,20.4,49
Netherlands,Disagree,2,4.1,49
Netherlands,Strongly disagree,2,4.1,49
United Kingdom,Strongly Agree,25,20.7,121
United Kingdom,Agree,45,37.2,121
United Kingdom,Neither agree or disagree,38,31.4,121
United Kingdom,Disagree,11,9.1,121
United Kingdom,Strongly disagree,2,1.7,121
United States,Strongly Agree,18,20.0,90
United States,Agree,44,48.9,90
United States,Neither agree or disagree,18,20.0,90
United States,Disagree,10,11.1,90
