country_group,category,n,pct,N
Germany,Strongly Agree,10,5.6,177
Germany,Agree,42,23.7,177
Germany,Neither agree or disagree,43,24.3,177
Germany,Disagree,34,19.2,177
Germany,Strongly disagree,48,27.1,177
Netherlands,Strongly Agree,2,4.3,47
Netherlands,Agree,5,10.6,47
Netherlands,Neither agree or disagree,11,23.4,47
Netherlands,Disagree,19,40.4,47
Netherlands,Strongly disagree,10,21.3,47
United Kingdom,Strongly Agree,9,7.4,121
United Kingdom,Agree,26,21.5,121
United Kingdom,Neither agree or disagree,22,18.2,121
United Kingdom,Disagree,37,30.6,121
United Kingdom,Strongly disagree,27,22.3,121
United States,Strongly Agree,8,9.3,86
United States,Agree,22,25.6,86
United States,Neither agree or disagree,17,19.8,86
United States,Disagree,28,32.6,86
United States,Strongly disagree,11,12.8,86
