item,age_group,category,n,pct,N
My experience is in demand on the labour market,Under 35,Strongly Agree,17,27.9,61
My experience is in demand on the labour market,Under 35,Agree,19,31.1,61
My experience is in demand on the labour market,Under 35,Neither agree or disagree,15,24.6,61
My experience is in demand on the labour market,Under 35,Disagree,10,16.4,61
My experience is in demand on the labour market,35-44,Strongly Agree,18,24.0,75
My experience is in demand on the labour market,35-44,Agree,24,32.0,75
My experience is in demand on the labour market,35-44,Neither agree or disagree,25,33.3,75
My experience is in demand on the labour market,35-44,Disagree,8,10.7,75
My experience is in demand on the labour market,45-54,Strongly Agree,6,18.2,33
My experience is in demand on the labour market,45-54,Agree,18,54.5,33
My experience is in demand on the labour market,45-54,Neither agree or disagree,4,12.1,33
My experience is in demand on the labour market,45-54,Disagree,4,12.1,33
My experience is in demand on the labour market,45-54,Strongly disagree,1,3.0,33
My experience is in demand on the labour market,55+,Strongly Agree,1,9.1,11
My experience is in demand on the labour market,55+,Agree,8,72.7,11
My experience is in demand on the labour market,55+,Neither agree or disagree,1,9.1,11
My experience is in demand on the labour market,55+,Disagree,1,9.1,11
The process I have to complete to gain a promotion is clear and understandable,Under 35,Strongly Agree,5,8.2,61
The process I have to complete to gain a promotion is clear and understandable,Under 35,Agree,13,21.3,61
The process I have to complete to gain a promotion is clear and understandable,Under 35,Neither agree or disagree,17,27.9,61
The process I have to complete to gain a promotion is clear and understandable,Under 35,Disagree,12,19.7,61
The process I have to complete to gain a promotion is clear and understandable,Under 35,Strongly disagree,14,23.0,61
The process I have to complete to gain a promotion is clear and understandable,35-44,Strongly Agree,2,2.7,74
The process I have to complete to gain a promotion is clear and understandable,35-44,Agree,20,27.0,74
The process I have to complete to gain a promotion is clear and understandable,35-44,Neither agree or disagree,16,21.6,74
The process I have to complete to gain a promotion is clear and understandable,35-44,Disagree,10,13.5,74
The process I have to complete to gain a promotion is clear and understandable,35-44,Strongly disagree,26,35.1,74
The process I have to complete to gain a promotion is clear and understandable,45-54,Strongly Agree,2,6.9,29
The process I have to complete to gain a promotion is clear and understandable,45-54,Agree,5,17.2,29
The process I have to complete to gain a promotion is clear and understandable,45-54,Neither agree or disagree,5,17.2,29
The process I have to complete to gain a promotion is clear and understandable,45-54,Disagree,10,34.5,29
The process I have to complete to gain a promotion is clear and understandable,45-54,Strongly disagree,7,24.1,29
The process I have to complete to gain a promotion is clear and understandable,55+,Strongly Agree,1,9.1,11
The process I have to complete to gain a promotion is clear and understandable,55+,Agree,4,36.4,11
The process I have to complete to gain a promotion is clear and understandable,55+,Neither agree or disagree,4,36.4,11
The process I have to complete to gain a promotion is clear and understandable,55+,Disagree,1,9.1,11
The process I have to complete to gain a promotion is clear and understandable,55+,Strongly disagree,1,9.1,11
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Under 35,Strongly Agree,6,9.0,67
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Under 35,Agree,27,40.3,67
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Under 35,Neither agree or disagree,23,34.3,67
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Under 35,Disagree,7,10.4,67
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Under 35,Strongly disagree,4,6.0,67
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,35-44,Strongly Agree,11,15.3,72
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,35-44,Agree,19,26.4,72
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,35-44,Neither agree or disagree,22,30.6,72
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,35-44,Disagree,13,18.1,72
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,35-44,Strongly disagree,7,9.7,72
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,45-54,Strongly Agree,4,12.5,32
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,45-54,Agree,9,28.1,32
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,45-54,Neither agree or disagree,10,31.2,32
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,45-54,Disagree,5,15.6,32
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,45-54,Strongly disagree,4,12.5,32
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,55+,Strongly Agree,2,22.2,9
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,55+,Agree,3,33.3,9
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,55+,Neither agree or disagree,4,44.4,9
