age_group,category,n,pct,N
Under 35,Strongly Agree,6,9.0,67
Under 35,Agree,27,40.3,67
Under 35,Neither agree or disagree,23,34.3,67
Under 35,Disagree,7,10.4,67
Under 35,Strongly disagree,4,6.0,67
35-44,Strongly Agree,11,15.3,72
35-44,Agree,19,26.4,72
35-44,Neither agree or disagree,22,30.6,72
35-44,Disagree,13,18.1,72
35-44,Strongly disagree,7,9.7,72
45-54,Strongly Agree,4,12.5,32
45-54,Agree,9,28.1,32
45-54,Neither agree or disagree,10,31.2,32
45-54,Disagree,5,15.6,32
45-54,Strongly disagree,4,12.5,32
55+,Strongly Agree,2,22.2,9
55+,Agree,3,33.3,9
55+,Neither agree or disagree,4,44.4,9
