age_group,category,n,pct,N
Under 35,Strongly Agree,17,27.9,61
Under 35,Agree,19,31.1,61
Under 35,Neither agree or disagree,15,24.6,61
Under 35,Disagree,10,16.4,61
35-44,Strongly Agree,18,24.0,75
35-44,Agree,24,32.0,75
35-44,Neither agree or disagree,25,33.3,75
35-44,Disagree,8,10.7,75
45-54,Strongly Agree,6,18.2,33
45-54,Agree,18,54.5,33
45-54,Neither agree or disagree,4,12.1,33
45-54,Disagree,4,12.1,33
45-54,Strongly disagree,1,3.0,33
55+,Strongly Agree,1,9.1,11
55+,Agree,8,72.7,11
55+,Neither agree or disagree,1,9.1,11
55+,Disagree,1,9.1,11
