item,category,n,pct,N
My experience is in demand on the labour market,Strongly Agree,42,23.1,182
My experience is in demand on the labour market,Agree,70,38.5,182
My experience is in demand on the labour market,Neither agree or disagree,46,25.3,182
My experience is in demand on the labour market,Disagree,23,12.6,182
My experience is in demand on the labour market,Strongly disagree,1,0.5,182
The process I have to complete to gain a promotion is clear and understandable,Strongly Agree,10,5.6,177
The process I have to complete to gain a promotion is clear and understandable,Agree,42,23.7,177
The process I have to complete to gain a promotion is clear and understandable,Neither agree or disagree,43,24.3,177
The process I have to complete to gain a promotion is clear and understandable,Disagree,34,19.2,177
The process I have to complete to gain a promotion is clear and understandable,Strongly disagree,48,27.1,177
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Strongly Agree,23,12.6,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Agree,58,31.9,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Neither agree or disagree,61,33.5,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Disagree,25,13.7,182
It is likely that my next position will be a Research Software Engineer / Research Software Developer role,Strongly disagree,15,8.2,182
