country_group,category,n,pct
Netherlands,Networking,34,91.9
Netherlands,Research software standards and interoperability definition,21,56.8
Netherlands,Job opportunities,20,54.1
Netherlands,Training,14,37.8
Netherlands,Research collaborations,9,24.3
United Kingdom,Networking,93,90.3
United Kingdom,Job opportunities,71,68.9
United Kingdom,Training,68,66.0
United Kingdom,Research software standards and interoperability definition,59,57.3
United Kingdom,Research collaborations,49,47.6
United States,Networking,69,89.6
United States,Research software standards and interoperability definition,56,72.7
United States,Job opportunities,51,66.2
United States,Training,46,59.7
United States,Research collaborations,44,57.1
