item,age_group,category,n,pct,N
Not mentioned at all,Under 35,Always,4,13.3,30
Not mentioned at all,Under 35,Sometimes,13,43.3,30
Not mentioned at all,Under 35,Never,13,43.3,30
Not mentioned at all,35-44,Always,8,17.4,46
Not mentioned at all,35-44,Sometimes,16,34.8,46
Not mentioned at all,35-44,Never,22,47.8,46
Not mentioned at all,45-54,Always,1,4.8,21
Not mentioned at all,45-54,Sometimes,15,71.4,21
Not mentioned at all,45-54,Never,5,23.8,21
Not mentioned at all,55+,Sometimes,5,71.4,7
Not mentioned at all,55+,Never,2,28.6,7
Acknowledged in the main text,Under 35,Always,3,9.4,32
Acknowledged in the main text,Under 35,Sometimes,10,31.2,32
Acknowledged in the main text,Under 35,Never,19,59.4,32
Acknowledged in the main text,35-44,Always,5,11.6,43
Acknowledged in the main text,35-44,Sometimes,18,41.9,43
Acknowledged in the main text,35-44,Never,20,46.5,43
Acknowledged in the main text,45-54,Sometimes,15,62.5,24
Acknowledged in the main text,45-54,Never,9,37.5,24
Acknowledged in the main text,55+,Sometimes,4,66.7,6
Acknowledged in the main text,55+,Never,2,33.3,6
Acknowledged in acknowledgements section,Under 35,Always,5,16.1,31
Acknowledged in acknowledgements section,Under 35,Sometimes,14,45.2,31
Acknowledged in acknowledgements section,Under 35,Never,12,38.7,31
Acknowledged in acknowledgements section,35-44,Always,3,7.0,43
Acknowledged in acknowledgements section,35-44,Sometimes,27,62.8,43
Acknowledged in acknowledgements section,35-44,Never,13,30.2,43
Acknowledged in acknowledgements section,45-54,Sometimes,18,81.8,22
Acknowledged in acknowledgements section,45-54,Never,4,18.2,22
Acknowledged in acknowledgements section,55+,Sometimes,5,100.0,5
Named as co-author,Under 35,Always,6,18.2,33
Named as co-author,Under 35,Sometimes,20,60.6,33
Named as co-author,Under 35,Never,7,21.2,33
Named as co-author,35-44,Always,11,26.8,41
Named as co-author,35-44,Sometimes,22,53.7,41
Named as co-author,35-44,Never,8,19.5,41
Named as co-author,45-54,Always,3,14.3,21
Named as co-author,45-54,Sometimes,14,66.7,21
Named as co-author,45-54,Never,4,19.0,21
Named as co-author,55+,Always,2,20.0,10
Named as co-author,55+,Sometimes,5,50.0,10
Named as co-author,55+,Never,3,30.0,10
Named as main author,Under 35,Always,2,5.7,35
Named as main author,Under 35,Sometimes,10,28.6,35
Named as main author,Under 35,Never,23,65.7,35
Named as main author,35-44,Always,2,3.9,51
Named as main author,35-44,Sometimes,17,33.3,51
Named as main author,35-44,Never,32,62.7,51
Named as main author,45-54,Always,2,10.5,19
Named as main author,45-54,Sometimes,7,36.8,19
Named as main author,45-54,Never,10,52.6,19
Named as main author,55+,Always,2,20.0,10
Named as main author,55+,Sometimes,2,20.0,10
Named as main author,55+,Never,6,60.0,10
