country_group,category,n,pct
Germany,Lecturing or content delivery,36,81.8
Germany,Content creation,27,61.4
Germany,Module or course leader,20,45.5
Germany,Marking or grading,18,40.9
Germany,Assessment design,16,36.4
Germany,Teaching assistant,9,20.5
Netherlands,Lecturing or content delivery,10,52.6
Netherlands,Teaching assistant,9,47.4
Netherlands,Content creation,9,47.4
Netherlands,Module or course leader,8,42.1
Netherlands,Marking or grading,7,36.8
Netherlands,Assessment design,5,26.3
United Kingdom,Lecturing or content delivery,23,71.9
United Kingdom,Content creation,18,56.2
United Kingdom,Marking or grading,17,53.1
United Kingdom,Module or course leader,14,43.8
United Kingdom,Assessment design,13,40.6
United Kingdom,Teaching assistant,7,21.9
United States,Module or course leader,9,60.0
United States,Lecturing or content delivery,9,60.0
United States,Content creation,6,40.0
United States,Marking or grading,5,33.3
United States,Assessment design,3,20.0
United States,Teaching assistant,1,6.7
