country_group,category,n,pct
Germany,Learned on-the-job,165,81.7
Germany,Self-taught,164,81.2
Germany,University course or module,98,48.5
Germany,Online courses,51,25.2
Germany,Conferences,31,15.3
Germany,Summer schools or workshops,27,13.4
Netherlands,Learned on-the-job,46,95.8
Netherlands,Self-taught,41,85.4
Netherlands,University course or module,22,45.8
Netherlands,Online courses,16,33.3
Netherlands,Conferences,8,16.7
Netherlands,Summer schools or workshops,6,12.5
United Kingdom,Learned on-the-job,113,90.4
United Kingdom,Self-taught,98,78.4
United Kingdom,University course or module,55,44.0
United Kingdom,Online courses,51,40.8
United Kingdom,Conferences,21,16.8
United Kingdom,Summer schools or workshops,17,13.6
United States,Learned on-the-job,76,83.5
United States,Self-taught,68,74.7
United States,University course or module,52,57.1
United States,Online courses,25,27.5
United States,Summer schools or workshops,21,23.1
United States,Conferences,11,12.1
