raw,cluster_id,category
derse,4,Conferences and events
rsecon,7,RSE events
agu,6,Survey terms
egu,6,Survey terms
adass,6,Survey terms
collaborations workshop,3,Workshop series
dhd,4,Conferences and events
pasc,2,Conferences and events
siam cse,2,Conferences and events
siam,2,Conferences and events
dash,6,Survey terms
latinr,6,Survey terms
juliacon,2,Conferences and events
derse conference,1,Astronomy conferences
nobugs,6,Survey terms
posit::conf,2,Conferences and events
spie,6,Survey terms
eccomas,6,Survey terms
american geophysical union annual meeting,1,Astronomy conferences
many,6,Survey terms
usrse,6,Survey terms
ieee escience,3,Workshop series
multiple,6,Survey terms
aps march meeting,1,Astronomy conferences
user!,6,Survey terms
project workshops,3,Workshop series
community workshops,3,Workshop series
euroscipy,0,Scientific conferences and workshops
sc,0,Scientific conferences and workshops
fosdem,4,Conferences and events
isc,2,Conferences and events
rsecon (uk),7,RSE events
eusn,4,Conferences and events
european geosciences union,0,Scientific conferences and workshops
icse,4,Conferences and events
chep,2,Conferences and events
supercomputing,5,Scientific research fields
siam pp,2,Conferences and events
scipy,5,Scientific research fields
pycon,2,Conferences and events
icalepcs,4,Conferences and events
domain conferences/workshops (mrs,3,Workshop series
emrs rsc,7,RSE events
faraday discussions,1,Astronomy conferences
psdi workshops),3,Workshop series
uk swift hep workshops,3,Workshop series
ivoa,6,Survey terms
some other astronomy conferences,1,Astronomy conferences
nerc digital gathering,3,Workshop series
empirical methods in natural language processing conference,1,Astronomy conferences
ebrains / hbp summit and workshops,3,Workshop series
tnc pearc techx,2,Conferences and events
a few,6,Survey terms
elixir pathogen data focus group,5,Scientific research fields
adass and numerous other conferences,1,Astronomy conferences
siam conferences,1,Astronomy conferences
domain workshops,3,Workshop series
mpg fdm,2,Conferences and events
wccm,4,Conferences and events
icosahom,4,Conferences and events
gamms rse,7,RSE events
symposium on software performance (ssp),3,Workshop series
aiaa,6,Survey terms
topical conferences,1,Astronomy conferences
where our users go to,4,Conferences and events
cancer genomics consortium,5,Scientific research fields
vision sciences society,5,Scientific research fields
society for neuroscience,5,Scientific research fields
barcamp open science,3,Workshop series
open science days,5,Scientific research fields
helmholtz metadata conference,1,Astronomy conferences
mpg fdm workshop,3,Workshop series
eln workshops,3,Workshop series
ukrse,6,Survey terms
third infinity,6,Survey terms
american geophysical union fall meeting,1,Astronomy conferences
ucar sea's improving scientific software conference,3,Workshop series
american meteorological society annual meeting,1,Astronomy conferences
watoc,2,Conferences and events
inmm,6,Survey terms
goldschmidt,0,Scientific conferences and workshops
aas,6,Survey terms
iau,6,Survey terms
very different,6,Survey terms
some topical conferences,1,Astronomy conferences
comparative oceanic linguistics,0,Scientific conferences and workshops
canberra,6,Survey terms
e.g. european library automation group (elag),3,Workshop series
