token,category_llm,category_human,cluster_id,n,exclude
acs fall meeting,Astronomy conferences,Astronomy conferences,1,1,0
adass and numerous other conferences,Astronomy conferences,Astronomy conferences,1,1,0
african digital scholarship and curation conference,Astronomy conferences,Astronomy conferences,1,1,0
agu fall meeting,Astronomy conferences,Astronomy conferences,1,1,0
american geophysical union,Astronomy conferences,Astronomy conferences,1,1,0
american geophysical union annual meeting,Astronomy conferences,Astronomy conferences,1,2,0
american geophysical union fall meeting,Astronomy conferences,Astronomy conferences,1,1,0
american meteorological society annual meeting,Astronomy conferences,Astronomy conferences,1,1,0
american physical society division of plasma physics annual meetings,Astronomy conferences,Astronomy conferences,1,1,0
aps march meeting,Astronomy conferences,Astronomy conferences,1,2,0
bernstein conference,Astronomy conferences,Astronomy conferences,1,1,0
bioinformatic conferences: eccb,Astronomy conferences,Astronomy conferences,1,1,0
caribbean regional conference of psychology,Astronomy conferences,Astronomy conferences,1,1,0
chaos communication congress,Astronomy conferences,Astronomy conferences,1,1,0
chpc conference,Astronomy conferences,Astronomy conferences,1,1,0
csir biennial conference,Astronomy conferences,Astronomy conferences,1,1,0
derse conference,Astronomy conferences,Astronomy conferences,1,3,0
dh conference,Astronomy conferences,Astronomy conferences,1,1,0
diverses conférences,Astronomy conferences,Astronomy conferences,1,1,0
domain conferences in the past,Astronomy conferences,Astronomy conferences,1,1,0
ecological modelling conference,Astronomy conferences,Astronomy conferences,1,1,0
empirical methods in natural language processing conference,Astronomy conferences,Astronomy conferences,1,1,0
eresearch south africa conference,Astronomy conferences,Astronomy conferences,1,1,0
european r users meeting,Astronomy conferences,Astronomy conferences,1,1,0
faraday discussions,Astronomy conferences,Astronomy conferences,1,1,0
galaxy community conference,Astronomy conferences,Astronomy conferences,1,1,0
gamm annual meeting,Astronomy conferences,Astronomy conferences,1,1,0
gordon research conference (usa),Astronomy conferences,Astronomy conferences,1,1,0
helmholtz metadata conference,Astronomy conferences,Astronomy conferences,1,1,0
hmc conference,Astronomy conferences,Astronomy conferences,1,1,0
hpsf conference,Astronomy conferences,Astronomy conferences,1,1,0
huminfra nodes conference,Astronomy conferences,Astronomy conferences,1,1,0
ices annual science conference,Astronomy conferences,Astronomy conferences,1,1,0
ieee escience conference,Astronomy conferences,Astronomy conferences,1,1,0
