raw,cluster_id,n
wissenschaftlicher mitarbeiter,3,29
research software engineer,1,12
postdoc,0,5
research associate,3,4
wissenschaftliche mitarbeiterin,3,4
phd student,2,4
scientific employee,2,4
rse,2,3
research assistant,3,3
phd candidate,2,3
researcher,3,3
scientific staff,2,3
data manager,5,2
scientific programmer,1,2
juniorprofessor,2,2
group leader,4,2
phd,2,2
senior scientist,2,2
wissenschaftliche hilfskraft,3,2
staff scientist,2,2
team lead,4,2
scientific software engineer,1,1
director of curriculum,4,1
department head,4,1
eln & fdm support,6,1
scientist and research software engineer,1,1
postdoc researcher,3,1
entwicklungsingenieur,1,1
researcher (wissenschaftliche mitarbeiterin),3,1
data steward,5,1
scientist,2,1
managing director,4,1
gis engineer,1,1
eln & rdm supporter,6,1
system administrator,5,1
head of science it,2,1
post-doc,0,1
technical director,4,1
technical staff,4,1
research assisntant,2,1
software-engineer,1,1
hpc system engineer,1,1
sorry,2,1
scientific coworker,2,1
professor,2,1
software developer,1,1
postdoctoral researcher,3,1
webentwickler für digitale repositorien,3,1
technischer mitarbeiter,3,1
doktorand,2,1
it admin,4,1
programmer,1,1
senior machine learning researcher,1,1
scientific researcher,2,1
wissenschaftlicher mitarbeiter:in,3,1
i don’t even know,2,1
hiwi,2,1
wissenschaftlicher programmierer,3,1
postdoctoral research fellow,3,1
wrap up postdoc,0,1
stellvertretende abteilungsleiterin und gruppenleitung,3,1
full stack developer,1,1
referent für forschungsdatenmanagement,3,1
data steward and scientist,5,1
abteilungsleiter,4,1
scientific staff (postdoctoral researcher),3,1
wiss. mitarbeiter,3,1
senior research software engineer,1,1
doctoral student / research associate,3,1
research software and systems engineer,1,1
academic researchers,3,1
wissenschaftlicher mitarbeiter / post-doc,3,1
deputy head of department,4,1
team leader,4,1
softwareentwickler,1,1
devops engineer,1,1
softwarentwickler/datamanager,5,1
responsible person for software engineering,1,1
hpc consultant,0,1
senior developer,1,1
informatiker,5,1
frontend development,1,1
research fellow,3,1
software engineer,1,1
miterbeiter wissenchaftler,3,1
it-entwickler,5,1
postdoctoral research associate,3,1
tenure track professor,2,1
project leader,4,1
rse and trainer,2,1
senior researcher,2,1
computational scientist,1,1
data scientists,5,1
application optimization engineer,1,1
wissenschaftliches personal,3,1
configurationmanager,5,1
student assistant,2,1
technische laborleitung,3,1
head of department,4,1
wissenschaftlicher mitarbeiter (researcher),3,1
wissenschaflticher mitarbeiter,3,1
senior bioinformatic software engineer,1,1
wissenschaftlicher angestellter,3,1
wiss. ma,2,1
developer,1,1
post doc,0,1
senior computational scientist,1,1
