token,category_llm,category_human,cluster_id,n,exclude
application optimization engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
computational scientist,(Research) Software Engineer,(Research) Software Engineer,1,1,0
developer,(Research) Software Engineer,Software Developer,1,1,0
devops engineer,(Research) Software Engineer,Software Developer,1,1,0
entwicklungsingenieur,(Research) Software Engineer,Software Developer,1,1,0
frontend development,(Research) Software Engineer,Software Developer,1,1,0
full stack developer,(Research) Software Engineer,Software Developer,1,1,0
gis engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
hpc system engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
programmer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
research software and systems engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
research software engineer,(Research) Software Engineer,(Research) Software Engineer,1,12,0
responsible person for software engineering,(Research) Software Engineer,(Research) Software Engineer,1,1,0
scientific programmer,(Research) Software Engineer,(Research) Software Engineer,1,2,0
scientific software engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
scientist and research software engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
senior bioinformatic software engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
senior computational scientist,(Research) Software Engineer,Computational Scientist / Scientific Programmer,1,1,0
senior developer,(Research) Software Engineer,Software Developer,1,1,0
senior machine learning researcher,(Research) Software Engineer,Researcher / Scientific Staff,1,1,0
senior research software engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
software developer,(Research) Software Engineer,Software Developer,1,1,0
software engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
software-engineer,(Research) Software Engineer,(Research) Software Engineer,1,1,0
softwareentwickler,(Research) Software Engineer,(Research) Software Engineer,1,1,0
eln & fdm support,Computational Scientist / Scientific Programmer,eln & rdm Support,6,1,0
eln & rdm supporter,Computational Scientist / Scientific Programmer,eln & rdm Support,6,1,0
configurationmanager,Data Management / Data Scientist,Technical Staff,5,1,0
data manager,Data Management / Data Scientist,Data Management / Data Scientist,5,2,0
data scientists,Data Management / Data Scientist,Data Management / Data Scientist,5,1,0
data steward,Data Management / Data Scientist,Data Management / Data Scientist,5,1,0
data steward and scientist,Data Management / Data Scientist,Data Management / Data Scientist,5,1,0
informatiker,Data Management / Data Scientist,Technical Staff,5,1,0
it-entwickler,Data Management / Data Scientist,Technical Staff,5,1,0
softwarentwickler/datamanager,Data Management / Data Scientist,Data Management / Data Scientist,5,1,0
system administrator,Data Management / Data Scientist,Technical Staff,5,1,0
abteilungsleiter,Management Roles,Management Roles,4,1,0
department head,Management Roles,Management Roles,4,1,0
deputy head of department,Management Roles,Management Roles,4,1,0
director of curriculum,Management Roles,Management Roles,4,1,0
group leader,Management Roles,Management Roles,4,2,0
head of department,Management Roles,Management Roles,4,1,0
it admin,Management Roles,Technical Staff,4,1,0
managing director,Management Roles,Management Roles,4,1,0
project leader,Management Roles,Management Roles,4,1,0
team lead,Management Roles,Management Roles,4,2,0
team leader,Management Roles,Management Roles,4,1,0
technical director,Management Roles,Technical Staff,4,1,0
technical staff,Management Roles,Technical Staff,4,1,0
