raw,cluster_id,n
critical thinking,7,38
prompt engineering,0,16
code review,1,16
testing,5,15
debugging,4,10
software architecture,2,10
patience,4,8
software engineering,2,6
scepticism,8,6
domain knowledge,9,6
discipline,3,4
experience,4,4
domain expertise,9,4
communication,3,4
skepticism,8,3
programming,1,3
problem solving,3,3
programming skills,1,3
curiosity,4,3
attention to detail,3,3
software development,2,3
software design,2,3
programming knowledge,1,3
documentation,9,3
architecture,2,3
common sense,3,3
caution,4,2
transparency,3,2
code understanding,1,2
system design,2,2
prompting,0,2
fact checking,5,2
llm knowledge,4,2
previous coding experience,1,2
coding,1,2
knowledge of software,2,2
reviewing,5,2
critical reading,7,2
understanding its limitations,9,2
design patterns,2,2
code reviewing,1,2
pensamiento crítico,7,2
humility,3,2
restraint,4,2
overview on available tools,9,2
clear communication,3,2
critical thinking and reasoning,7,2
multitasking,4,2
software development skills,2,2
review,4,2
knowledge,4,2
ai ethics,7,2
devops,4,2
planning,3,2
reading code,1,2
test the answers generative ai gives with something that is not ai - ai cannot approve ai,6,1
debugging/code review,1,1
project planning,3,1
being able to explain the problem succinctly and clearly,6,1
understand the code it writes.,3,1
rigour,4,1
need to be already skilled in software development,3,1
to be able to understand when not to use the output of generative ai.,2,1
ability to be critical,7,1
deep understanding of code/problems that the ai is asked so solve,3,1
code comprehension,1,1
need to be able to break down a task into subtasks that are comprehensible to the ai and testable by you,2,1
need to know enough to understand what is generated line by line and to check if what is generated is both producing the correct result and taking a sensible approach,2,1
solid understanding of software engineering,2,1
be conservative and use it sparingly,6,1
designing strong apis,9,1
not trusting the answers; treating like a fallible human pair programming partner,6,1
same as without using generative ai - it is just an assistant so you need to know what it is doing,2,1
the problem with ai is in telling ai what the problem is,6,1
that is requirements definition.,3,1
training of junior staff in the seemingly outdated modes of doing things. the model can only enhance what’s there,4,1
saber describir con precisión el objetivo científico los datos disponibles y  las restricciones metodológicas,0,1
conocimiento sólido de dominio para evaluar el código generado y validar resultados y supuestos,0,1
buenas prácticas de ingeniería de software,7,1
conciencia sobre ética y uso responsable de las herramientas de ia generativa,0,1
not having inflated expectations for productivity by management.,6,1
a broad spectrum of skills including requirements gathering and analysis.,2,1
the ability to recognise when the ai produces nonsence,6,1
testeo y capacidad de crítica,7,1
robust ethics and guardrails,3,1
legislative compliance,3,1
resources to experiment (including time) and see what works,6,1
particularly discovering new workflows.,6,1
tool integration,9,1
unit testing,5,1
ci/cd,4,1
knowledge of how they work,9,1
programming knowledge for purpose of verification,3,1
how to use them effectively,9,1
vorwissen um die ergebnisse beurteilen zu können,0,1
prompting-fähigkeiten,0,1
a critical mind set and patience.,7,1
lernen die richtigen fragen zu stellen? systemverständnis,0,1
domain knowlege,4,1
programming language knowledge,1,1
firm grasp of the programming language and its concepts,3,1
otherwise you aren't able to review the generated code.,6,1
problem formulation,9,1
using stuff efficiently while staying totally independent from bigtech,6,1
none. research has show that pretty much everyone has the same skill with using llms regardless of how much practice they have. these tools have a dangerous combination of high failure rates and sounding authoritative that makes them potentially dangerous to use without a ton of care that most people won't do,4,1
they shouldn't be used,6,1
will make things worse,6,1
training,4,1
choose the right ai,4,1
check and debug final code,1,1
correct prompting,0,1
integration,4,1
licensing,4,1
dependency management,3,1
