raw,cluster_id,category
critical thinking,7,AI Ethics and Critical Thinking
prompt engineering,0,Prompt Engineering
code review,1,Code Review
testing,5,Testing Skills
debugging,4,AI Literacy
software architecture,2,Software Engineering Skills
patience,4,AI Literacy
software engineering,2,Software Engineering Skills
scepticism,8,Skepticism
domain knowledge,9,Domain Knowledge
discipline,3,Software Development Skills
experience,4,AI Literacy
domain expertise,9,Domain Knowledge
communication,3,Software Development Skills
skepticism,8,Skepticism
programming,1,Code Review
problem solving,3,Software Development Skills
programming skills,1,Code Review
curiosity,4,AI Literacy
attention to detail,3,Software Development Skills
software development,2,Software Engineering Skills
software design,2,Software Engineering Skills
programming knowledge,1,Code Review
documentation,9,Domain Knowledge
architecture,2,Software Engineering Skills
common sense,3,Software Development Skills
caution,4,AI Literacy
transparency,3,Software Development Skills
code understanding,1,Code Review
system design,2,Software Engineering Skills
prompting,0,Prompt Engineering
fact checking,5,Testing Skills
llm knowledge,4,AI Literacy
previous coding experience,1,Code Review
coding,1,Code Review
knowledge of software,2,Software Engineering Skills
reviewing,5,Testing Skills
critical reading,7,AI Ethics and Critical Thinking
understanding its limitations,9,Domain Knowledge
design patterns,2,Software Engineering Skills
code reviewing,1,Code Review
pensamiento crítico,7,AI Ethics and Critical Thinking
humility,3,Software Development Skills
restraint,4,AI Literacy
overview on available tools,9,Domain Knowledge
clear communication,3,Software Development Skills
critical thinking and reasoning,7,AI Ethics and Critical Thinking
multitasking,4,AI Literacy
software development skills,2,Software Engineering Skills
review,4,AI Literacy
knowledge,4,AI Literacy
ai ethics,7,AI Ethics and Critical Thinking
devops,4,AI Literacy
planning,3,Software Development Skills
reading code,1,Code Review
test the answers generative ai gives with something that is not ai - ai cannot approve ai,6,AI Oversight Skills
debugging/code review,1,Code Review
project planning,3,Software Development Skills
being able to explain the problem succinctly and clearly,6,AI Oversight Skills
understand the code it writes.,3,Software Development Skills
rigour,4,AI Literacy
need to be already skilled in software development,3,Software Development Skills
to be able to understand when not to use the output of generative ai.,2,Software Engineering Skills
ability to be critical,7,AI Ethics and Critical Thinking
deep understanding of code/problems that the ai is asked so solve,3,Software Development Skills
code comprehension,1,Code Review
need to be able to break down a task into subtasks that are comprehensible to the ai and testable by you,2,Software Engineering Skills
need to know enough to understand what is generated line by line and to check if what is generated is both producing the correct result and taking a sensible approach,2,Software Engineering Skills
solid understanding of software engineering,2,Software Engineering Skills
be conservative and use it sparingly,6,AI Oversight Skills
designing strong apis,9,Domain Knowledge
not trusting the answers; treating like a fallible human pair programming partner,6,AI Oversight Skills
same as without using generative ai - it is just an assistant so you need to know what it is doing,2,Software Engineering Skills
the problem with ai is in telling ai what the problem is,6,AI Oversight Skills
that is requirements definition.,3,Software Development Skills
training of junior staff in the seemingly outdated modes of doing things. the model can only enhance what’s there,4,AI Literacy
saber describir con precisión el objetivo científico los datos disponibles y  las restricciones metodológicas,0,Prompt Engineering
conocimiento sólido de dominio para evaluar el código generado y validar resultados y supuestos,0,Prompt Engineering
buenas prácticas de ingeniería de software,7,AI Ethics and Critical Thinking
conciencia sobre ética y uso responsable de las herramientas de ia generativa,0,Prompt Engineering
not having inflated expectations for productivity by management.,6,AI Oversight Skills
a broad spectrum of skills including requirements gathering and analysis.,2,Software Engineering Skills
the ability to recognise when the ai produces nonsence,6,AI Oversight Skills
testeo y capacidad de crítica,7,AI Ethics and Critical Thinking
robust ethics and guardrails,3,Software Development Skills
legislative compliance,3,Software Development Skills
resources to experiment (including time) and see what works,6,AI Oversight Skills
particularly discovering new workflows.,6,AI Oversight Skills
tool integration,9,Domain Knowledge
unit testing,5,Testing Skills
ci/cd,4,AI Literacy
knowledge of how they work,9,Domain Knowledge
programming knowledge for purpose of verification,3,Software Development Skills
how to use them effectively,9,Domain Knowledge
vorwissen um die ergebnisse beurteilen zu können,0,Prompt Engineering
prompting-fähigkeiten,0,Prompt Engineering
a critical mind set and patience.,7,AI Ethics and Critical Thinking
lernen die richtigen fragen zu stellen? systemverständnis,0,Prompt Engineering
domain knowlege,4,AI Literacy
programming language knowledge,1,Code Review
firm grasp of the programming language and its concepts,3,Software Development Skills
otherwise you aren't able to review the generated code.,6,AI Oversight Skills
problem formulation,9,Domain Knowledge
using stuff efficiently while staying totally independent from bigtech,6,AI Oversight Skills
none. research has show that pretty much everyone has the same skill with using llms regardless of how much practice they have. these tools have a dangerous combination of high failure rates and sounding authoritative that makes them potentially dangerous to use without a ton of care that most people won't do,4,AI Literacy
they shouldn't be used,6,AI Oversight Skills
will make things worse,6,AI Oversight Skills
training,4,AI Literacy
choose the right ai,4,AI Literacy
check and debug final code,1,Code Review
correct prompting,0,Prompt Engineering
integration,4,AI Literacy
licensing,4,AI Literacy
dependency management,3,Software Development Skills
testing techniques,5,Testing Skills
ai agent management,3,Software Development Skills
the ability to pose the right question or task and to critically analyze the results for accuracy and appropriateness.,2,Software Engineering Skills
understanding of tools and governance of data,3,Software Development Skills
improved understanding of ethical and legal considerations,6,AI Oversight Skills
tbd - still evolving,4,AI Literacy
understanding the relevant subjects well enough to detect / suspect errors etc.,2,Software Engineering Skills
healthy skepticism,8,Skepticism
critical assessment of code/code review,1,Code Review
software testing and quality assurance; developing and enforcing quality standards and practices; developing sound security and privacy practices,2,Software Engineering Skills
reviewing skills,5,Testing Skills
you need to be a good sw engineer/architect and can make decission what is good or bad,2,Software Engineering Skills
to avoid the ai produces technical debt instead of realy helping.,6,AI Oversight Skills
promting,0,Prompt Engineering
skepsis,8,Skepticism
self-esteem,4,AI Literacy
gute promts schreiben,7,AI Ethics and Critical Thinking
minimal understanding of software development workflows,2,Software Engineering Skills
basic programming knowledge,1,Code Review
critical thinking and fact checking,7,AI Ethics and Critical Thinking
solid technical foundations (including staying up to date),3,Software Development Skills
using ai as a sparring partner rather than as someone doing the work,6,AI Oversight Skills
good knowledge of the topic,3,Software Development Skills
good understanding of the whole system,3,Software Development Skills
good basic knowledge of programming and requirement for the specific field (e.g. geospatial),2,Software Engineering Skills
understanding how to check correctness of its code completion suggestions. in my experience its first answer is right 70-80% of the time.,4,AI Literacy
analytic skills,4,AI Literacy
understanding of programming language used,3,Software Development Skills
software engineering skills,2,Software Engineering Skills
you still need to understand whether suggestions/generated code are correct,6,AI Oversight Skills
efficient and suitable for the current task.,6,AI Oversight Skills
strong foundational skills and knowledge,9,Domain Knowledge
owning and taking responsibility for produced software,3,Software Development Skills
persistence,4,AI Literacy
