raw,cluster_id,n
project management,7,15
software architecture,9,9
rust,8,6
testing,6,5
time management,7,4
leadership,2,4
requirements engineering,4,3
coding,1,3
devops,8,3
projektmanagement,0,3
marketing,2,2
management,7,2
requirement engineering,4,2
unit testing,6,2
ci/cd,1,2
communication,2,2
containerization,1,2
machine learning,1,2
python,1,2
agentic coding,5,2
communication/pedagogy,2,1
management for training purposes,7,1
parallized hardware,1,1
noch mehr über softwarearchitektur lernen,3,1
intermediate rse (refactoring,0,1
understand how to really write tests,6,1
some more profound knowledge of gitlab-ci (e.g. caching effectively)),3,1
formale softwarearchitektur für objektorientierte sprachen,3,1
task management,7,1
improve machine learning skills,1,1
software design and architecture,9,1
best practices for coding,1,1
how to sell infrastructure work,7,1
use of ai/ml in software development,5,1
stronger foundation in mathematics (linear algebra,9,1
optimization,1,1
signal processing),1,1
automation with jube,5,1
architektur,3,1
remembering people's name,10,1
scrum/agile,8,1
software architecture design,9,1
a more consistent way of working with git branches,9,1
local llm usage for development,3,1
partner(s) for code reviews,1,1
optimierung von python code,3,1
angular,8,1
presentation skills - with specific focus on how things are presented within software related journals and conferences,2,1
parallelisation of numerics,1,1
systematischeres testen,6,1
leveraging cloud resources,1,1
requirements elicitation in research projects,4,1
a more formal approach to relational database design and administration,9,1
structured way of improving my coding knowledge,9,1
using development methodologies in academic environment,9,1
testentwicklung für mathematische software die über unit tests hinaus gehen,3,1
software design patterns,9,1
learn how to properly organize of bigger projects,7,1
project,2,1
people management (communicating what is needed for research and to what depth),2,1
effektive dokumentation,0,1
softwarearchitekturgestaltung,3,1
research software management,0,1
kubernetes,8,1
more knowledge in performance optimization and in the hpc world (vectorization,2,1
cuda,8,1
multi cpu,1,1
multi gpu). i would love to work together with senios and to be taught by them.,2,1
requirement engineering methology,4,1
1. use of git,1,1
negotiation,2,1
stakeholder management / communication,7,1
low level language like rust,3,1
"communication (why and how ""my"" software improves others work experience)",2,1
kommunikationsfähigkeiten,3,1
more knowledge of python (i use it very little),3,1
teaching/training,10,1
cloud computing,1,1
geschäftstüchtigkeit/gründermentalität,3,1
softwareprojektmanagement,0,1
deepen the general knowledge on broader software architecture,9,1
advanced ci/cd using templates,1,1
runtime optimization,1,1
operating systems design,9,1
planen der sw architektur,3,1
devops engineer,4,1
test-driven development,6,1
asking the right questions,10,1
adjust chair for comfortable sitting,9,1
didactic skills,2,1
software engineering skills,9,1
legal aspects,2,1
optimierung von programmlaufzeit,3,1
improve knowledge about system architecture,9,1
hpc,1,1
slurm,8,1
statistical learning,2,1
project and time management,7,1
newest c++ features,1,1
ux/ui research,0,1
aws,8,1
continuous integration and testing,6,1
working with ai tools,5,1
efficiently managing research software projects,0,1
prioritisation of tasks for most impact of research software,0,1
ressourcenmanagement,0,1
workflow management tools like snakemake,7,1
sell yourself better,10,1
ki als hilfe in se,3,1
grant writing,2,1
contract negotiations,2,1
documentation generation,2,1
more on the configuration of local servers/clusters,3,1
version control,1,1
c++,1,1
better programming,1,1
project managing,7,1
know how to free time slots to work practical,9,1
to gain experience,2,1
to be a better teacher,10,1
formale begriffe des softwaretestings,6,1
ai assistants,5,1
software develoment using ai assistant,5,1
ai and ml,8,1
documentation,2,1
ai agent management,5,1
expectation management,7,1
better project management,7,1
gpu programming and performance engineering (beyond numba/cupy/torch/...),3,1
create latex graphics with tikz,3,1
container,1,1
automatic testing,6,1
gpu programming,1,1
python tools to tidy up repository / add readmes,3,1
docstrings and comments (e.g. with an llm,3,1
but with human oversight),8,1
language server protocol (lsp),3,1
software development best practices,9,1
automatisiertes testen,6,1
typescript,1,1
workflow management skills,7,1
formal testing,6,1
kollaborations-modelle,0,1
participatory (co-production) approaches to rs development,2,1
formal use of project managment software,7,1
funding rse projects,0,1
a more formal approach to distributed software design,9,1
expanding to other languages,10,1
fortgeschrittenes benchmarking von software,3,1
profiling and performance optimisation,1,1
research skills required,0,1
clean coding,1,1
weitere gpu skills,3,1
höheres maß an sicherheit (im sinne von cyber-security),3,1
cran compliance,2,1
research software dissemination,0,1
cloud-technologien,3,1
user experience design,9,1
ui/ux design,1,1
i would love to extend my knowledge about physics,2,1
especiially optics and all phenomenoms relating to electron magnetism. also other aspects of physics that are relevant to undersand everthing around synchrotrons are of intereset.,2,1
user management and interaction:,7,1
2. improve c++,1,1
ai assisted code management (testing,5,1
refactoring),1,1
software achitecture patterns,9,1
methodology for agile multiproject management,7,1
system-engineering,1,1
collaboration tools,2,1
ai,8,1
team- und communitybuilding,0,1
agile methoden,0,1
deeper knowledge of performance optimizations,9,1
ai in rse proficiency (we all stumble along as best as we can here),2,1
low-level programming in c/c++,1,1
clean code in long term project,1,1
legal knowledge,2,1
formale methoden,0,1
docker,1,1
choosing the right pattern the first time around,10,1
data science,1,1
closer contact to scientists and scientific methods,2,1
architecture documentation,9,1
software testing,6,1
laterales führen von kolleg:innen,3,1
fortgeschrittene algebra und analysis,3,1
höhere mathematik,3,1
databases,1,1
ai-assisted software development,5,1
gute tests,6,1
leader skills,2,1
advanced testing methods,6,1
ai development,5,1
agent based modelling on hpc infrastructure,5,1
better / more efficient communicaton skills,10,1
community organizing,2,1
networking,2,1
system administration,7,1
ai agent assisted development,5,1
team leadership,2,1
effectively testing research software to avoid that bugs that appear only on specific systems,0,1
überblick über inhaltlich verwandte softwareentwicklung in meiner engeren fachcommunity,3,1
cd for documentation using documenter.jl and github actions,3,1
data storage systems,1,1
formal development methodologies,9,1
community building,2,1
learn object orientation?,2,1
advanced c++,1,1
object oriented programming,1,1
sofware migration (matlab to c) with ai assistant,5,1
producing an efficient code,1,1
refactoring techniques,1,1
collaborating,2,1
agile management,7,1
browser-based visualisations with python backend (currently using mesa but i want to know about other options),3,1
model context protocol (mcp),3,1
advanced pandas/geopandas for data analysis,3,1
java,8,1
improve on understanding ci/cd - had to self teach this skill and there are still gaps present,2,1
object-oriented scientific software design,0,1
debuging,1,1
hackathon management,7,1
proper db management,7,1
process modeling and mining,7,1
improving institutional-level appreciation of rse work,2,1
asynchronous programming,1,1
community building 101,2,1
parallel programming,1,1
adopting the recent trends of ai from industry for improving productivity/ development activity,2,1
reusable patterns,1,1
gitlab ci/cd,1,1
stan,8,1
research software maintenance,0,1
wasm,8,1
design of software architecture for numerical software library and packages,9,1
3. i dont know,1,1
i am occasional developer.,1,1
testing strategies for complex systems (mocking and ui testing,6,1
system and integration testing strategies),6,1
improve on python,1,1
documenting,2,1
ides,8,1
how to teach effectively?,10,1
project organisation,7,1
low-level linux kernel unterstanding,3,1
airworthiness certification,2,1
full-stack development,1,1
formal software testing,6,1
create more effective learning content,10,1
program optimization,1,1
packaging,1,1
software-architektur,3,1
reverse engineering von proprietären dateiformaten,3,1
dealing with legacy code produced by untrained researchers and fast changing requirements while ensuring overall quality and maintainability,2,1
