raw,cluster_id,category
agent based modelling on hpc infrastructure,5,AI And Automation
agentic coding,5,AI And Automation
ai agent assisted development,5,AI And Automation
ai agent management,5,AI And Automation
ai assistants,5,AI And Automation
ai assisted code management (testing,5,AI And Automation
ai development,5,AI And Automation
ai-assisted software development,5,AI And Automation
automation with jube,5,AI And Automation
software develoment using ai assistant,5,AI And Automation
sofware migration (matlab to c) with ai assistant,5,AI And Automation
use of ai/ml in software development,5,AI And Automation
working with ai tools,5,AI And Automation
advanced pandas/geopandas for data analysis,3,Advanced Development Techniques
architektur,3,Advanced Development Techniques
browser-based visualisations with python backend (currently using mesa but i want to know about other options),3,Advanced Development Techniques
cd for documentation using documenter.jl and github actions,3,Advanced Development Techniques
cloud-technologien,3,Advanced Development Techniques
create latex graphics with tikz,3,Advanced Development Techniques
docstrings and comments (e.g. with an llm,3,Advanced Development Techniques
formale softwarearchitektur für objektorientierte sprachen,3,Advanced Development Techniques
fortgeschrittene algebra und analysis,3,Advanced Development Techniques
fortgeschrittenes benchmarking von software,3,Advanced Development Techniques
geschäftstüchtigkeit/gründermentalität,3,Advanced Development Techniques
gpu programming and performance engineering (beyond numba/cupy/torch/...),3,Advanced Development Techniques
höhere mathematik,3,Advanced Development Techniques
höheres maß an sicherheit (im sinne von cyber-security),3,Advanced Development Techniques
ki als hilfe in se,3,Advanced Development Techniques
kommunikationsfähigkeiten,3,Advanced Development Techniques
language server protocol (lsp),3,Advanced Development Techniques
laterales führen von kolleg:innen,3,Advanced Development Techniques
local llm usage for development,3,Advanced Development Techniques
low level language like rust,3,Advanced Development Techniques
low-level linux kernel unterstanding,3,Advanced Development Techniques
model context protocol (mcp),3,Advanced Development Techniques
more knowledge of python (i use it very little),3,Advanced Development Techniques
more on the configuration of local servers/clusters,3,Advanced Development Techniques
noch mehr über softwarearchitektur lernen,3,Advanced Development Techniques
optimierung von programmlaufzeit,3,Advanced Development Techniques
optimierung von python code,3,Advanced Development Techniques
planen der sw architektur,3,Advanced Development Techniques
python tools to tidy up repository / add readmes,3,Advanced Development Techniques
reverse engineering von proprietären dateiformaten,3,Advanced Development Techniques
skripting mit bash und/oder python,3,Advanced Development Techniques
software-architektur,3,Advanced Development Techniques
softwarearchitekturgestaltung,3,Advanced Development Techniques
some more profound knowledge of gitlab-ci (e.g. caching effectively)),3,Advanced Development Techniques
