token,category_llm,category_human,cluster_id,n,exclude
agent based modelling on hpc infrastructure,AI And Automation,AI And Automation,5,1,0
agentic coding,AI And Automation,AI And Automation,5,2,0
ai agent assisted development,AI And Automation,AI And Automation,5,1,0
ai agent management,AI And Automation,AI And Automation,5,1,0
ai assistants,AI And Automation,AI And Automation,5,1,0
ai assisted code management (testing,AI And Automation,AI And Automation,5,1,0
ai development,AI And Automation,AI And Automation,5,1,0
ai-assisted software development,AI And Automation,AI And Automation,5,1,0
automation with jube,AI And Automation,AI And Automation,5,1,0
software develoment using ai assistant,AI And Automation,AI And Automation,5,1,0
sofware migration (matlab to c) with ai assistant,AI And Automation,AI And Automation,5,1,0
use of ai/ml in software development,AI And Automation,AI And Automation,5,1,0
working with ai tools,AI And Automation,AI And Automation,5,1,0
advanced pandas/geopandas for data analysis,Advanced Development Techniques,Advanced Development Techniques,3,1,0
architektur,Advanced Development Techniques,Advanced Development Techniques,3,1,0
browser-based visualisations with python backend (currently using mesa but i want to know about other options),Advanced Development Techniques,Advanced Development Techniques,3,1,0
cd for documentation using documenter.jl and github actions,Advanced Development Techniques,Advanced Development Techniques,3,1,0
cloud-technologien,Advanced Development Techniques,Advanced Development Techniques,3,1,0
create latex graphics with tikz,Advanced Development Techniques,Advanced Development Techniques,3,1,0
docstrings and comments (e.g. with an llm,Advanced Development Techniques,Advanced Development Techniques,3,1,0
formale softwarearchitektur für objektorientierte sprachen,Advanced Development Techniques,Advanced Development Techniques,3,1,0
fortgeschrittene algebra und analysis,Advanced Development Techniques,Advanced Development Techniques,3,1,0
fortgeschrittenes benchmarking von software,Advanced Development Techniques,Advanced Development Techniques,3,1,0
geschäftstüchtigkeit/gründermentalität,Advanced Development Techniques,Advanced Development Techniques,3,1,0
gpu programming and performance engineering (beyond numba/cupy/torch/...),Advanced Development Techniques,Advanced Development Techniques,3,1,0
höhere mathematik,Advanced Development Techniques,Advanced Development Techniques,3,1,0
höheres maß an sicherheit (im sinne von cyber-security),Advanced Development Techniques,Advanced Development Techniques,3,1,0
ki als hilfe in se,Advanced Development Techniques,Advanced Development Techniques,3,1,0
kommunikationsfähigkeiten,Advanced Development Techniques,Advanced Development Techniques,3,1,0
language server protocol (lsp),Advanced Development Techniques,Advanced Development Techniques,3,1,0
laterales führen von kolleg:innen,Advanced Development Techniques,Advanced Development Techniques,3,1,0
local llm usage for development,Advanced Development Techniques,Advanced Development Techniques,3,1,0
low level language like rust,Advanced Development Techniques,Advanced Development Techniques,3,1,0
low-level linux kernel unterstanding,Advanced Development Techniques,Advanced Development Techniques,3,1,0
model context protocol (mcp),Advanced Development Techniques,Advanced Development Techniques,3,1,0
more knowledge of python (i use it very little),Advanced Development Techniques,Advanced Development Techniques,3,1,0
more on the configuration of local servers/clusters,Advanced Development Techniques,Advanced Development Techniques,3,1,0
noch mehr über softwarearchitektur lernen,Advanced Development Techniques,Advanced Development Techniques,3,1,0
optimierung von programmlaufzeit,Advanced Development Techniques,Advanced Development Techniques,3,1,0
optimierung von python code,Advanced Development Techniques,Advanced Development Techniques,3,1,0
planen der sw architektur,Advanced Development Techniques,Advanced Development Techniques,3,1,0
python tools to tidy up repository / add readmes,Advanced Development Techniques,Advanced Development Techniques,3,1,0
reverse engineering von proprietären dateiformaten,Advanced Development Techniques,Advanced Development Techniques,3,1,0
skripting mit bash und/oder python,Advanced Development Techniques,Advanced Development Techniques,3,1,0
software-architektur,Advanced Development Techniques,Advanced Development Techniques,3,1,0
softwarearchitekturgestaltung,Advanced Development Techniques,Advanced Development Techniques,3,1,0
some more profound knowledge of gitlab-ci (e.g. caching effectively)),Advanced Development Techniques,Advanced Development Techniques,3,1,0
testentwicklung für mathematische software die über unit tests hinaus gehen,Advanced Development Techniques,Advanced Development Techniques,3,1,0
using llms and agents (ideally local,Advanced Development Techniques,Advanced Development Techniques,3,1,0
via llama.cpp) for software development,Advanced Development Techniques,Advanced Development Techniques,3,1,0
weitere gpu skills,Advanced Development Techniques,Advanced Development Techniques,3,1,0
überblick über inhaltlich verwandte softwareentwicklung in meiner engeren fachcommunity,Advanced Development Techniques,Advanced Development Techniques,3,1,0
1. use of git,Coding And Development,Coding And Development,1,1,0
2. improve c++,Coding And Development,Coding And Development,1,1,0
3. i dont know,Coding And Development,Coding And Development,1,1,0
advanced c++,Coding And Development,Coding And Development,1,1,0
advanced ci/cd using templates,Coding And Development,Coding And Development,1,1,0
asynchronous programming,Coding And Development,Coding And Development,1,1,0
best practices for coding,Coding And Development,Coding And Development,1,1,0
better programming,Coding And Development,Coding And Development,1,1,0
c++,Coding And Development,Coding And Development,1,1,0
ci/cd,Coding And Development,Coding And Development,1,2,0
clean code in long term project,Coding And Development,Coding And Development,1,1,0
clean coding,Coding And Development,Coding And Development,1,1,0
cloud computing,Coding And Development,Coding And Development,1,1,0
code review,Coding And Development,Coding And Development,1,1,0
coding,Coding And Development,Coding And Development,1,3,0
container,Coding And Development,Coding And Development,1,1,0
containerization,Coding And Development,Coding And Development,1,2,0
data science,Coding And Development,Coding And Development,1,1,0
data storage systems,Coding And Development,Coding And Development,1,1,0
databases,Coding And Development,Coding And Development,1,1,0
debuging,Coding And Development,Coding And Development,1,1,0
docker,Coding And Development,Coding And Development,1,1,0
full-stack development,Coding And Development,Coding And Development,1,1,0
gitlab ci/cd,Coding And Development,Coding And Development,1,1,0
gpu programming,Coding And Development,Coding And Development,1,1,0
hpc,Coding And Development,Coding And Development,1,1,0
i am occasional developer.,Coding And Development,Coding And Development,1,1,0
improve machine learning skills,Coding And Development,Coding And Development,1,1,0
improve on python,Coding And Development,Coding And Development,1,1,0
