raw,cluster_id,n
local university training,2,12
software carpentry,0,6
0,1,3
the carpentries,0,2
carpentries,0,2
keine,1,2
git,3,2
suresoft,1,2
institute-level training primarily aimed at phd students,1,1
open to ms and post docs. i am responsible for the material and sometimes draw from/remix carpentries materials.,0,1
conference workshops,4,1
bespoke client training programms,1,1
rdm onboarding (barebones gitlab),3,1
institution specific data literacy training,1,1
local training via seminars,2,1
lokale weiterbildungen,1,1
hands-on to introductory courses to hpc,5,1
fall schools,1,1
software carpentries (not all parts covered),0,1
training at universities in federal state,1,1
local university training (graduate school courses,2,1
lectures),5,1
training in our software,1,1
in-house training,1,1
onboarding,1,1
gitlab introduction,3,1
digital literacy,1,1
eln introduction,3,1
software carpenty,0,1
code refinery,1,1
software carpentries,0,1
cecam workshop,4,1
bring your own code workshops,4,1
online training,1,1
internal training programs and workshops,4,1
zbiw,1,1
local training for project stakeholders,2,1
universitätskurse im studienprogramm,1,1
local seminars,2,1
institutional training,1,1
local chapter of derse community training,2,1
local university trainings,2,1
conduct in-house programming training courses for students,1,1
hifis schulugen,1,1
zentrumsinterne schulungen,1,1
internal training of colleagues,1,1
in house talks,1,1
hpc,5,1
conda,1,1
versionskontrolle,1,1
local in-group seminar/talk,2,1
lokale universitätskurse,1,1
internal training,1,1
recode (coding course for beginners at bam),5,1
hands-on training of colleagues,1,1
universitätskurse,1,1
workshops organisiert von konferenzen,4,1
online and in person workshops on request,4,1
github,3,1
gitlab,3,1
python,3,1
cookiecutter,1,1
university lectures,5,1
self made,1,1
local trainings & weekly open door consulting,2,1
administering workshops at conferences and similar,4,1
university training,1,1
hifis education / hida,1,1
tu dresden,1,1
local institute training,2,1
i teach people compuational data practices,5,1
but not software engineering,6,1
tsmp fall school,1,1
own workshops,4,1
other conferences,4,1
bespoke training,1,1
hpc und ai kurse eines hardware herstellers,5,1
bring your oen code hackathons eines hardware herstellers in kooperation mit hpc centern,5,1
hpc einführungskurse,5,1
fachholschul-lehre,1,1
tutorials on workshops,4,1
personal training,1,1
dedicated totorials to interest groups,1,1
open workshop for external users of our software,4,1
teaching in the regular curriculum as a lecturer and tutorial leader in physics and computer science,5,1
local graduate school training,2,1
autodidaktisch online,1,1
online or in-person training on the use of the developed software,6,1
but not on software development as such,6,1
reading group of our research group,1,1
local training: python programming,2,1
rse basics (version control,3,1
tests,1,1
ci),1,1
crc workshops,4,1
latex,1,1
forschungsdatenmanagement,1,1
