raw,cluster_id,category
bring your oen code hackathons eines hardware herstellers in kooperation mit hpc centern,5,HPC Courses And Workshops
hands-on to introductory courses to hpc,5,HPC Courses And Workshops
hpc,5,HPC Courses And Workshops
hpc einführungskurse,5,HPC Courses And Workshops
hpc und ai kurse eines hardware herstellers,5,HPC Courses And Workshops
i teach people compuational data practices,5,HPC Courses And Workshops
lectures),5,HPC Courses And Workshops
recode (coding course for beginners at bam),5,HPC Courses And Workshops
teaching in the regular curriculum as a lecturer and tutorial leader in physics and computer science,5,HPC Courses And Workshops
university lectures,5,HPC Courses And Workshops
0,1,Institutional Training
autodidaktisch online,1,Institutional Training
bespoke client training programms,1,Institutional Training
bespoke training,1,Institutional Training
ci),1,Institutional Training
code refinery,1,Institutional Training
conda,1,Institutional Training
conduct in-house programming training courses for students,1,Institutional Training
cookiecutter,1,Institutional Training
dedicated totorials to interest groups,1,Institutional Training
digital literacy,1,Institutional Training
fachholschul-lehre,1,Institutional Training
fall schools,1,Institutional Training
forschungsdatenmanagement,1,Institutional Training
hands-on training of colleagues,1,Institutional Training
hifis education / hida,1,Institutional Training
hifis schulugen,1,Institutional Training
in house talks,1,Institutional Training
in-house training,1,Institutional Training
institute-level training primarily aimed at phd students,1,Institutional Training
institution specific data literacy training,1,Institutional Training
institutional training,1,Institutional Training
internal training,1,Institutional Training
internal training of colleagues,1,Institutional Training
keine,1,Institutional Training
latex,1,Institutional Training
lokale universitätskurse,1,Institutional Training
lokale weiterbildungen,1,Institutional Training
onboarding,1,Institutional Training
online training,1,Institutional Training
personal training,1,Institutional Training
reading group of our research group,1,Institutional Training
self made,1,Institutional Training
suresoft,1,Institutional Training
tests,1,Institutional Training
training at universities in federal state,1,Institutional Training
training in our software,1,Institutional Training
tsmp fall school,1,Institutional Training
tu dresden,1,Institutional Training
university training,1,Institutional Training
universitätskurse,1,Institutional Training
universitätskurse im studienprogramm,1,Institutional Training
versionskontrolle,1,Institutional Training
zbiw,1,Institutional Training
zentrumsinterne schulungen,1,Institutional Training
local chapter of derse community training,2,Local University Training
local graduate school training,2,Local University Training
local in-group seminar/talk,2,Local University Training
local institute training,2,Local University Training
local seminars,2,Local University Training
local training for project stakeholders,2,Local University Training
local training via seminars,2,Local University Training
local training: python programming,2,Local University Training
local trainings & weekly open door consulting,2,Local University Training
local university training,2,Local University Training
local university training (graduate school courses,2,Local University Training
local university trainings,2,Local University Training
carpentries,0,Software Carpentry
open to ms and post docs. i am responsible for the material and sometimes draw from/remix carpentries materials.,0,Software Carpentry
software carpentries,0,Software Carpentry
software carpentries (not all parts covered),0,Software Carpentry
software carpentry,0,Software Carpentry
software carpenty,0,Software Carpentry
the carpentries,0,Software Carpentry
but not on software development as such,6,Software Training
but not software engineering,6,Software Training
online or in-person training on the use of the developed software,6,Software Training
eln introduction,3,Version Control Systems
git,3,Version Control Systems
github,3,Version Control Systems
gitlab,3,Version Control Systems
gitlab introduction,3,Version Control Systems
python,3,Version Control Systems
rdm onboarding (barebones gitlab),3,Version Control Systems
rse basics (version control,3,Version Control Systems
administering workshops at conferences and similar,4,Workshops And Conferences
bring your own code workshops,4,Workshops And Conferences
cecam workshop,4,Workshops And Conferences
conference workshops,4,Workshops And Conferences
crc workshops,4,Workshops And Conferences
internal training programs and workshops,4,Workshops And Conferences
online and in person workshops on request,4,Workshops And Conferences
open workshop for external users of our software,4,Workshops And Conferences
other conferences,4,Workshops And Conferences
own workshops,4,Workshops And Conferences
tutorials on workshops,4,Workshops And Conferences
workshops organisiert von konferenzen,4,Workshops And Conferences
